Date,Roti Amount,Basmathi rice Amount,Samba rice Amount,Cooking oil Amount,Chicken Amount,Fish Amount,Prawns Amount,Cuttlefish Amount,Egg Amount,Salt Amount,Pepper Amount,Chilie flakes Amount,Sausage Amount,Cheese Amount,Fresh milk Amount,Carrot Amount,Leeks Amount,Cabage Amount,Pinnaple Amount,Sesame oil Amount,Tomato ketchup Amount,Dark sauce Amount,Oyster sauce Amount,Roti Amount (Unit),Basmathi rice Amount (Unit),Samba rice Amount (Unit),Cooking oil Amount (Unit),Chicken Amount (Unit),Fish Amount (Unit),Prawns Amount (Unit),Cuttlefish Amount (Unit),Egg Amount (Unit),Salt Amount (Unit),Pepper Amount (Unit),Chilie flakes Amount (Unit),Sausage Amount (Unit),Cheese Amount (Unit),Fresh milk Amount (Unit),Carrot Amount (Unit),Leeks Amount (Unit),Cabage Amount (Unit),Pinnaple Amount (Unit),Sesame oil Amount (Unit),Tomato ketchup Amount (Unit),Dark sauce Amount (Unit),Oyster sauce Amount (Unit)
2024-05-26,0.0,300.0,410.0,90.0,150.0,30.0,32.0,30.0,5700,0.0,0.0,0.0,1550,0,0.0,50.0,77.0,45.0,3.0,0.0,0.0,0.0,0.0,,kg,kg,L,kg,kg,kg,kg,,,,,,,,kg,kg,kg,kg,,,,
2024-05-27,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kg,,,,,,,,,,,,,,,,,,,,,,
2024-05-30,215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kg,,,,,,,,,,,,,,,,,,,,,,
2024-06-02,0.0,360.0,370.0,100.0,160.0,30.0,32.0,30.0,5700,120.0,115.0,130.0,1550,280,20.0,50.0,75.0,40.0,2.0,60.0,30.0,1.0,5.0,,kg,kg,L,kg,kg,kg,kg,,kg,kg,kg,,,L,kg,kg,kg,kg,L,L,L,L
2024-06-03,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kg,,,,,,,,,,,,,,,,,,,,,,
2024-06-06,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kg,,,,,,,,,,,,,,,,,,,,,,
2024-06-09,207.0,350.0,380.0,80.0,180.0,40.0,40.0,35.0,5800,0.0,0.0,0.0,1600,0,0.0,55.0,77.0,40.0,2.0,0.0,0.0,0.0,0.0,kg,kg,kg,L,kg,kg,kg,kg,,,,,,,,kg,kg,kg,kg,,,,
2024-06-12,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kg,,,,,,,,,,,,,,,,,,,,,,
2024-06-15,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kg,,,,,,,,,,,,,,,,,,,,,,
2024-06-16,0.0,300.0,375.0,80.0,150.0,30.0,35.0,30.0,5500,0.0,0.0,0.0,1500,0,0.0,45.0,70.0,40.0,1.0,0.0,0.0,0.0,0.0,,kg,kg,L,kg,kg,kg,kg,,,,,,,,kg,kg,kg,kg,,,,
